Date,Open-p,High-p,Low-p,Close-p,Adj Close-p,Volume-p,Open-z,High-z,Low-z,Close-z,Adj Close-z,Volume-z
8/4/2020,109.1325,110.790001,108.387497,109.665001,109.116043,173071600,3101.209961,3167.23999,3101.209961,3138.830078,3138.830078,4694300
8/5/2020,109.377502,110.392502,108.897499,110.0625,109.511551,121992000,3143.77002,3213.590088,3127.300049,3205.030029,3205.030029,3930000
8/6/2020,110.404999,114.412498,109.797501,113.902496,113.332329,202428800,3194.360107,3247.469971,3165.429932,3225,3225,3940600
8/7/2020,113.205002,113.675003,110.292503,111.112503,110.755638,198045600,3224.01001,3240.810059,3140.669922,3167.459961,3167.459961,3936100
8/10/2020,112.599998,113.775002,110,112.727501,112.365448,212403600,3170.310059,3172.51001,3101.52002,3148.159912,3148.159912,3167300
8/11/2020,111.970001,112.482498,109.107498,109.375,109.023705,187902400,3113.199951,3159.219971,3073,3080.669922,3080.669922,3718100
8/12/2020,110.497498,113.275002,110.297501,113.010002,112.647041,165944800,3108,3174.389893,3101.419922,3162.23999,3162.23999,3527200
8/13/2020,114.43,116.042503,113.927498,115.010002,114.64061,210082000,3182.98999,3217.52002,3155,3161.02002,3161.02002,3149000
8/14/2020,114.830002,115,113.044998,114.907501,114.538445,165565200,3178.179932,3178.23999,3120,3148.02002,3148.02002,2751700
8/17/2020,116.0625,116.087502,113.962502,114.607498,114.239403,119561600,3173.120117,3194.969971,3154.179932,3182.409912,3182.409912,2691200
8/18/2020,114.352501,116,114.0075,115.5625,115.191338,105633600,3212,3320,3205.820068,3312.48999,3312.48999,5346000
8/19/2020,115.982498,117.162498,115.610001,115.707497,115.335869,145538000,3303.01001,3315.899902,3256,3260.47998,3260.47998,4185100
8/20/2020,115.75,118.392502,115.732498,118.275002,117.895126,126907200,3252,3312.620117,3238,3297.370117,3297.370117,3332500
8/21/2020,119.262497,124.8675,119.25,124.370003,123.970551,338054800,3295,3314.399902,3275.389893,3284.719971,3284.719971,3575900
8/24/2020,128.697495,128.785004,123.9375,125.857498,125.45327,345937600,3310.149902,3380.320068,3257.560059,3307.459961,3307.459961,4666300
8/25/2020,124.697502,125.18,123.052498,124.824997,124.424088,211495600,3294.98999,3357.399902,3267,3346.48999,3346.48999,3992800
8/26/2020,126.18,126.9925,125.082497,126.522499,126.116135,163022400,3351.110107,3451.73999,3344.570068,3441.850098,3441.850098,6508700
8/27/2020,127.142502,127.485001,123.832497,125.010002,124.608498,155552400,3450.050049,3453,3378,3400,3400,4264800
8/28/2020,126.012497,126.442497,124.577499,124.807503,124.406647,187630000,3423,3433.370117,3386.5,3401.800049,3401.800049,2897000
8/31/2020,127.580002,131,126,129.039993,128.625549,225702700,3408.98999,3495,3405,3450.959961,3450.959961,4185900
9/1/2020,132.759995,134.800003,130.529999,134.179993,133.749039,152470100,3489.580078,3513.870117,3467,3499.120117,3499.120117,3476400
9/2/2020,137.589996,137.979996,127,131.399994,130.977966,200119000,3547,3552.25,3486.689941,3531.449951,3531.449951,3931500
9/3/2020,126.910004,128.839996,120.5,120.879997,120.491753,257599600,3485,3488.409912,3303,3368,3368,8161100
9/4/2020,120.07,123.699997,110.889999,120.959999,120.571503,332607200,3318,3381.5,3111.129883,3294.620117,3294.620117,8781800
9/8/2020,113.949997,118.989998,112.68,112.82,112.457649,231366600,3144,3250.850098,3130,3149.840088,3149.840088,6094200
9/9/2020,117.260002,119.139999,115.260002,117.32,116.943192,176940500,3202.98999,3303.179932,3185,3268.610107,3268.610107,5188700
9/10/2020,120.360001,120.5,112.5,113.489998,113.125496,182274400,3307.219971,3349.889893,3170.550049,3175.110107,3175.110107,5330700
9/11/2020,114.57,115.230003,110,112,111.640282,180860300,3208.689941,3217.340088,3083.97998,3116.219971,3116.219971,5094000
9/14/2020,114.720001,115.93,112.800003,115.360001,114.989487,140150100,3172.939941,3187.389893,3096,3102.969971,3102.969971,4529600
9/15/2020,118.330002,118.830002,113.610001,115.540001,115.168915,184642000,3136.159912,3175.02002,3108.919922,3156.129883,3156.129883,4021500
9/16/2020,115.230003,116,112.040001,112.129997,111.769859,154679000,3179.98999,3187.23999,3074.149902,3078.100098,3078.100098,4512200
9/17/2020,109.720001,112.199997,108.709999,110.339996,109.985611,178011000,3009.25,3029.429932,2972.550049,3008.72998,3008.72998,6449100
9/18/2020,110.400002,110.879997,106.089996,106.839996,106.496849,287104900,3031.73999,3037.800049,2905.540039,2954.909912,2954.909912,8892600
9/21/2020,104.540001,110.190002,103.099998,110.080002,109.726448,195713800,2906.5,2962,2871,2960.469971,2960.469971,6117900
9/22/2020,112.68,112.860001,109.160004,111.809998,111.450882,183055400,3033.840088,3133.98999,3000.199951,3128.98999,3128.98999,6948800
9/23/2020,111.620003,112.110001,106.769997,107.120003,106.775963,150718700,3120.429932,3127,2992.379883,2999.860107,2999.860107,5652700
9/24/2020,105.169998,110.25,105,108.220001,107.872421,167743300,2977.790039,3069.300049,2965,3019.790039,3019.790039,5529400
9/25/2020,108.43,112.440002,107.669998,112.279999,111.919373,149981400,3054.860107,3101.540039,2999,3095.129883,3095.129883,4615200
9/28/2020,115.010002,115.32,112.779999,114.959999,114.590767,137672400,3148.850098,3175.040039,3117.169922,3174.050049,3174.050049,4224200
9/29/2020,114.550003,115.309998,113.57,114.089996,113.723564,99382200,3175.389893,3188.26001,3132.540039,3144.879883,3144.879883,3495800
9/30/2020,113.790001,117.260002,113.620003,115.809998,115.438042,142675200,3141.139893,3212.879883,3133.98999,3148.72998,3148.72998,4896100
10/1/2020,117.639999,117.720001,115.830002,116.790001,116.414894,116120400,3208,3224,3172,3221.26001,3221.26001,4971900
10/2/2020,112.889999,115.370003,112.220001,113.019997,112.657005,144712000,3153.629883,3195.800049,3123,3125,3125,5613100
10/5/2020,113.910004,116.650002,113.550003,116.5,116.125824,106243800,3145.840088,3202.530029,3140.850098,3199.199951,3199.199951,3775300
10/6/2020,115.699997,116.120003,112.25,113.160004,112.796555,161498200,3165,3182,3090,3099.959961,3099.959961,5086900
10/7/2020,114.620003,115.550003,114.129997,115.080002,114.710388,96849000,3135,3200,3132.389893,3195.689941,3195.689941,4309400
10/8/2020,116.25,116.400002,114.589996,114.970001,114.600739,83477200,3224.98999,3233.290039,3174.98999,3190.550049,3190.550049,3174100
10/9/2020,115.279999,117,114.919998,116.970001,116.594315,100506900,3210,3288.98999,3197.830078,3286.649902,3286.649902,4907900
10/12/2020,120.059998,125.18,119.279999,124.400002,124.000458,240226800,3349.939941,3496.23999,3339.550049,3442.929932,3442.929932,8364200
10/13/2020,125.269997,125.389999,119.650002,121.099998,120.711044,262330500,3467.98999,3492.379883,3424.219971,3443.629883,3443.629883,5744700
10/14/2020,121,123.029999,119.620003,121.190002,120.800766,151062300,3447,3464.879883,3340,3363.709961,3363.709961,5828900
10/15/2020,118.720001,121.199997,118.150002,120.709999,120.322304,112559200,3292.01001,3355.879883,3280,3338.649902,3338.649902,5223400
10/16/2020,121.279999,121.550003,118.809998,119.019997,118.637726,115393800,3363.22998,3399.659912,3160,3272.709961,3272.709961,6474400
10/19/2020,119.959999,120.419998,115.660004,115.980003,115.607498,120639300,3299.610107,3329,3192.73999,3207.209961,3207.209961,5223600
10/20/2020,116.199997,118.980003,115.629997,117.510002,117.132591,124423700,3222.280029,3266,3192.01001,3217.01001,3217.01001,4509700
10/21/2020,116.669998,118.709999,116.449997,116.870003,116.494644,89946000,3212.5,3233.879883,3160,3184.939941,3184.939941,4592700
10/22/2020,117.449997,118.040001,114.589996,115.75,115.378235,101988000,3189.870117,3198.75,3121.939941,3176.399902,3176.399902,4212000
10/23/2020,116.389999,116.550003,114.279999,115.040001,114.670517,82572600,3191,3205.330078,3140,3204.399902,3204.399902,3466700
10/26/2020,114.010002,116.550003,112.879997,115.050003,114.680489,111850700,3198.73999,3282.97998,3153.300049,3207.040039,3207.040039,5901200
10/27/2020,115.489998,117.279999,114.540001,116.599998,116.22551,92276800,3224.939941,3291.659912,3211.300049,3286.330078,3286.330078,4291000
10/28/2020,115.050003,115.43,111.099998,111.199997,110.84285,143937800,3249.300049,3264.02002,3162.469971,3162.780029,3162.780029,5588300
10/29/2020,112.370003,116.93,112.199997,115.32,114.949615,146129200,3201.27002,3257.25,3164,3211.01001,3211.01001,6596500
10/30/2020,111.059998,111.989998,107.720001,108.860001,108.510361,190272600,3157.75,3167,3019,3036.149902,3036.149902,8386400
11/2/2020,109.110001,110.68,107.32,108.769997,108.420654,122866900,3061.73999,3079.709961,2950.120117,3004.47998,3004.47998,7257400
11/3/2020,109.660004,111.489998,108.730003,110.440002,110.085289,107624400,3018.530029,3074.899902,2980.97998,3048.409912,3048.409912,4897900
11/4/2020,114.139999,115.589996,112.349998,114.949997,114.580803,138235500,3159.98999,3244.850098,3139.72998,3241.159912,3241.159912,6839000
11/5/2020,117.949997,119.620003,116.870003,119.029999,118.647697,126387100,3319.969971,3366.800049,3288.879883,3322,3322,5789300
11/6/2020,118.32,119.199997,116.129997,118.690002,118.512909,114457900,3304.639893,3322,3232,3311.370117,3311.370117,4647300
11/9/2020,120.5,121.989998,116.050003,116.32,116.146439,154515300,3231.030029,3289,3112.110107,3143.73999,3143.73999,7190400
11/10/2020,115.550003,117.589996,114.129997,115.970001,115.796967,138023400,3095.02002,3114,3019.47998,3035.02002,3035.02002,6591000
11/11/2020,117.190002,119.629997,116.440002,119.489998,119.311707,112295000,3061.780029,3139.149902,3050,3137.389893,3137.389893,4366900
11/12/2020,119.620003,120.529999,118.57,119.209999,119.032127,103162300,3159.949951,3175.879883,3086.050049,3110.280029,3110.280029,4362000
11/13/2020,119.440002,119.669998,117.870003,119.260002,119.082054,81581900,3122,3141.719971,3085.389893,3128.810059,3128.810059,3756200
11/16/2020,118.919998,120.989998,118.150002,120.300003,120.120506,91183000,3093.199951,3142.699951,3072.689941,3131.060059,3131.060059,3808700
11/17/2020,119.550003,120.669998,118.959999,119.389999,119.211861,74271000,3183.540039,3189.25,3135.26001,3135.659912,3135.659912,3444700
11/18/2020,118.610001,119.82,118,118.029999,117.853889,76322100,3134,3140,3105.100098,3105.459961,3105.459961,2916800
11/19/2020,117.589996,119.059998,116.809998,118.639999,118.462982,74113000,3105.310059,3125,3080.919922,3117.02002,3117.02002,3010300
11/20/2020,118.639999,118.769997,117.290001,117.339996,117.164917,73604300,3117.02002,3132.889893,3098.050049,3099.399902,3099.399902,3374400
11/23/2020,117.18,117.620003,113.75,113.849998,113.680122,127959300,3116.699951,3139.75,3065.459961,3098.389893,3098.389893,4708900
11/24/2020,113.910004,115.849998,112.589996,115.169998,114.998154,113874200,3100.5,3134.25,3086.26001,3118.060059,3118.060059,3602100
11/25/2020,115.550003,116.75,115.169998,116.029999,115.856873,76499200,3141.870117,3198,3140.26001,3185.070068,3185.070068,3790400
11/27/2020,116.57,117.489998,116.220001,116.589996,116.416031,46691300,3211.26001,3216.189941,3190.050049,3195.340088,3195.340088,2392900
11/30/2020,116.970001,120.970001,116.809998,119.050003,118.872368,169410200,3208.47998,3228.389893,3125.550049,3168.040039,3168.040039,4063900
12/1/2020,121.010002,123.470001,120.010002,122.720001,122.536896,128166800,3188.5,3248.949951,3157.179932,3220.080078,3220.080078,4544400
12/2/2020,122.019997,123.370003,120.889999,123.080002,122.896355,89004200,3221.649902,3232,3173.26001,3203.530029,3203.530029,3129300
12/3/2020,123.519997,123.779999,122.209999,122.940002,122.756569,78967600,3205.459961,3228.639893,3181.310059,3186.72998,3186.72998,2892000
12/4/2020,122.599998,122.860001,121.519997,122.25,122.067596,78260400,3198.209961,3198.209961,3158.76001,3162.580078,3162.580078,2913600
12/7/2020,122.309998,124.57,122.25,123.75,123.565353,86712000,3156.47998,3180.76001,3141.689941,3158,3158,2751300
12/8/2020,124.370003,124.980003,123.089996,124.379997,124.194412,82225500,3158.899902,3184.129883,3120.02002,3177.290039,3177.290039,3286300
12/9/2020,124.529999,125.949997,121,121.779999,121.598289,115089200,3167.889893,3174.429932,3088,3104.199951,3104.199951,4100800
12/10/2020,120.5,123.870003,120.150002,123.239998,123.056114,81312200,3088.98999,3142.100098,3076,3101.48999,3101.48999,3030200
12/11/2020,122.43,122.760002,120.550003,122.410004,122.227356,86939800,3096.659912,3118.669922,3072.820068,3116.419922,3116.419922,3064700
12/14/2020,122.599998,123.349998,121.540001,121.779999,121.598289,79184500,3143,3190.469971,3126,3156.969971,3156.969971,4155800
12/15/2020,124.339996,127.900002,124.129997,127.879997,127.689186,157572300,3181.01001,3188.5,3130.48999,3165.120117,3165.120117,3323700
12/16/2020,127.410004,128.369995,126.559998,127.809998,127.619293,98208600,3176.01001,3247,3163.679932,3240.959961,3240.959961,4427600
12/17/2020,128.899994,129.580002,128.039993,128.699997,128.507965,94359800,3250,3263.51001,3221,3236.080078,3236.080078,3474300
12/18/2020,128.960007,129.100006,126.120003,126.660004,126.471016,192541500,3243.98999,3249.419922,3171.600098,3201.649902,3201.649902,5995700
12/21/2020,125.019997,128.309998,123.449997,128.229996,128.038666,121251600,3200.01001,3226.969971,3166,3206.179932,3206.179932,3836800
12/22/2020,131.610001,134.410004,129.649994,131.880005,131.683228,168904800,3202.840088,3222,3180.080078,3206.52002,3206.52002,2369400
12/23/2020,132.160004,132.429993,130.779999,130.960007,130.764603,88223700,3205,3210.129883,3184.169922,3185.27002,3185.27002,2093800
12/24/2020,131.320007,133.460007,131.100006,131.970001,131.773087,54930100,3193.899902,3202,3169,3172.689941,3172.689941,1451900
12/28/2020,133.990005,137.339996,133.509995,136.690002,136.486053,124486200,3194,3304,3172.689941,3283.959961,3283.959961,5686800
